County,Trump,Biden,Per Capita Personal Income 2020,2022 Population,Growth Rate,Population Density
Alachua,50972,89704,49556,284694,15.1041,325.3446
Baker,11911,2037,36552,28487,5.0599,48.6765
Bay,66097,25614,50696,176488,4.5223,232.6926
Bradford,10334,3160,36301,28259,-0.9151,96.1305
Brevard,207883,148549,51507,619260,13.9653,609.8479
Broward,333409,618752,55908,1983637,13.4761,1643.4076
Calhoun,5274,1209,32264,13452,-8.0205,23.7109
Charlotte,73243,42273,45606,192221,20.1546,282.2225
Citrus,65352,27092,41933,156365,10.7119,268.7169
Clay,84480,38317,47407,223721,17.2143,369.9042
Collier,128950,77621,103865,386598,20.2407,193.4116
Columbia,23836,8914,38243,70132,3.8516,87.9351
Desoto,8313,4259,27863,33798,-3.052,53.0533
Dixie,6759,1365,30651,16827,2.4662,23.8645
Duval,233762,252556,51131,1021827,18.231,1339.8661
Escambia,96674,70929,47381,326763,9.7924,497.4407
Flagler,43043,28161,50599,119314,24.6802,245.7662
Franklin,4675,2120,39452,12631,9.3688,23.17
Gadsden,7465,16153,38507,43314,-6.6287,83.8942
Gilchrist,7895,1700,37425,18048,6.547,51.6107
Glades,3782,1385,28116,11974,-7.063,14.8537
Gulf,6113,1985,49666,13858,-12.6395,25.0332
Hamilton,3815,1963,29383,13844,-6.4531,26.9453
Hardee,6122,2298,31775,24847,-10.3999,38.9577
Hendry,7906,4929,35546,39715,1.4691,34.4478
Hernando,70412,37519,41385,198863,15.0974,420.5848
Highlands,34873,16938,37158,101725,2.9751,100.0661
Hillsborough,327398,376367,51848,1505870,22.5055,1475.8888
Holmes,8080,924,34661,19599,-1.646,40.9374
Indian River,58872,37844,84607,164140,18.9179,326.4282
Jackson,15488,6766,38710,46833,-5.8557,51.0297
Jefferson,4479,3897,44065,14460,-2.0392,24.1767
Lafayette,3128,510,30032,8098,-8.7035,14.9022
Lake,125859,83505,46563,401336,35.1063,427.3513
Lee,233247,157695,54707,789236,27.5525,1006.236
Leon,57453,103517,48850,295540,7.2791,443.1784
Levy,16749,6205,40598,43337,6.2155,38.7552
Liberty,2846,694,28496,7896,-5.6067,9.4499
Madison,5576,3747,35828,17716,-7.8444,25.4506
Manatee,124987,90166,52395,415086,28.5761,558.5407
Marion,127826,74858,41553,384830,16.1583,242.3313
Martin,61168,36893,89185,160853,9.9338,295.8344
Miami-Dade,532833,617864,57213,2742833,9.87,1444.6688
Monroe,25693,21881,106583,84830,16.0624,86.2943
Nassau,42566,15564,64746,93760,27.8883,144.5492
Okaloosa,79798,34248,54630,217838,20.471,234.1684
Okeechobee,11470,4390,34998,39574,-1.0551,51.4609
Orange,245398,395014,49390,1486698,29.7343,1645.8249
Osceola,73480,97297,39210,412650,53.5813,310.8114
Palm Beach,334711,433572,87478,1526603,15.64,774.9758
Pasco,179621,119073,45461,581329,25.0985,777.4635
Pinellas,276209,277450,59178,967619,5.5728,3534.1242
Polk,194586,145049,39760,749636,24.5046,417.2456
Putnam,25514,10527,36354,73113,-1.6823,100.4465
Santa Rosa,77385,27612,49472,195326,29.0371,193.0557
Sarasota,148370,120110,70884,444918,17.254,800.5268
Seminole,125241,132528,53403,480484,13.6654,1552.5581
St. Johns,110946,63850,73944,290103,52.6545,482.9503
St. Lucie,86831,84137,43970,339514,22.2201,593.8911
Sumter,62761,29341,54533,137018,46.6688,250.3356
Suwannee,16410,4485,35987,43858,5.5522,63.696
Taylor,7751,2299,33227,21642,-4.1117,20.7435
Union,5133,1053,24593,16269,4.7248,66.7978
Volusia,173821,130575,46475,565333,14.3027,513.4476
Wakulla,12874,5351,39938,34362,11.6519,56.6637
Walton,32947,10338,69862,79357,44.1727,76.4722
Washington,9876,2347,32862,25402,2.0325,43.5837
